age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
Middle-Aged,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,Over-time,United-States,large
Old,Private,5th-6th,Divorced,Priv-house-serv,Not-in-family,Black,Female,None,None,Part-time,United-States,small
Old,Local-gov,Assoc-voc,Widowed,Adm-clerical,Not-in-family,White,Female,None,None,Part-time,United-States,small
Senior,Private,HS-grad,Divorced,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,Full-time,United-States,small
Senior,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Masters,Never-married,Sales,Not-in-family,White,Male,None,None,Over-time,United-States,large
Senior,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,None,None,Full-time,United-States,small
Senior,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Assoc-voc,Married-civ-spouse,Tech-support,Wife,White,Female,None,None,Full-time,United-States,large
Middle-Aged,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Over-time,United-States,large
Old,Private,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Female,None,None,Part-time,United-States,large
Senior,State-gov,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,None,None,Over-time,United-States,small
Middle-Aged,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,None,None,Over-time,United-States,large
Middle-Aged,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Female,None,None,Over-time,United-States,small
Middle-Aged,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,10th,Never-married,Craft-repair,Not-in-family,White,Male,None,None,Over-time,United-States,small
Senior,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,None,None,Full-time,United-States,small
Young,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,None,None,Full-time,United-States,small
Senior,Private,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,None,None,Full-time,United-States,small
Middle-Aged,State-gov,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Divorced,Farming-fishing,Not-in-family,Asian-Pac-Islander,Male,None,None,Full-time,Philippines,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Over-time,United-States,large
Middle-Aged,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,High,None,Full-time,United-States,large
Middle-Aged,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,None,None,Over-time,United-States,small
Young,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,None,None,Full-time,United-States,small
Senior,Private,Some-college,Divorced,Craft-repair,Unmarried,White,Male,None,None,Full-time,United-States,large
Young,Private,Masters,Never-married,Prof-specialty,Own-child,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,High,None,Over-time,United-States,large
Senior,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,High,None,Full-time,United-States,large
Young,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,None,None,Part-time,United-States,small
Middle-Aged,Local-gov,HS-grad,Divorced,Craft-repair,Own-child,White,Female,None,None,Full-time,Puerto-Rico,small
Middle-Aged,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,None,None,Full-time,United-States,large
Middle-Aged,Local-gov,Some-college,Never-married,Adm-clerical,Other-relative,Black,Male,None,None,Full-time,Haiti,small
Middle-Aged,Private,Some-college,Never-married,Protective-serv,Unmarried,Black,Female,None,None,Full-time,United-States,small
Senior,Private,Some-college,Widowed,Sales,Not-in-family,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,Low,Full-time,United-States,large
Old,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,High,None,Over-time,United-States,large
Young,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,None,None,Part-time,United-States,small
Young,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Over-time,United-States,large
Middle-Aged,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Full-time,United-States,large
Young,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,Low,None,Full-time,United-States,small
Middle-Aged,Private,Masters,Divorced,Exec-managerial,Not-in-family,White,Female,None,None,Over-time,United-States,large
Middle-Aged,Private,Masters,Separated,Prof-specialty,Not-in-family,White,Male,None,None,Full-time,United-States,large
Young,Private,Some-college,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,None,None,Full-time,Philippines,small
Young,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,Assoc-acdm,Never-married,Craft-repair,Not-in-family,White,Male,None,None,Full-time,United-States,small
Old,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Part-time,United-States,small
Senior,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,High,None,Over-time,United-States,large
Middle-Aged,State-gov,HS-grad,Never-married,Other-service,Unmarried,Black,Female,Low,None,Full-time,United-States,small
Young,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Local-gov,Prof-school,Divorced,Prof-specialty,Unmarried,Black,Female,None,Low,Full-time,United-States,small
Young,Private,10th,Never-married,Other-service,Own-child,Black,Female,None,None,Part-time,United-States,small
Senior,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,None,None,Part-time,United-States,small
Young,Private,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,None,None,Full-time,United-States,small
Young,Private,11th,Never-married,Prof-specialty,Not-in-family,White,Female,None,None,Part-time,United-States,small
Senior,Private,11th,Widowed,Handlers-cleaners,Unmarried,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Local-gov,Some-college,Divorced,Protective-serv,Unmarried,White,Male,None,None,Over-time,United-States,small
Young,Private,Some-college,Never-married,Tech-support,Own-child,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,None,None,Over-time,United-States,large
Middle-Aged,Self-emp-not-inc,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,None,None,Over-time,United-States,large
Middle-Aged,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Over-time,United-States,large
Middle-Aged,Private,HS-grad,Never-married,Tech-support,Unmarried,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,None,Over-time,United-States,small
Middle-Aged,State-gov,Bachelors,Never-married,Tech-support,Not-in-family,White,Male,None,None,Part-time,United-States,small
Young,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,None,None,Full-time,United-States,small
Senior,Self-emp-not-inc,HS-grad,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,None,None,Workaholic,United-States,small
Young,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Divorced,Sales,Not-in-family,White,Male,None,None,Over-time,United-States,large
Middle-Aged,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Full-time,United-States,large
Middle-Aged,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,Low,None,Over-time,United-States,large
Middle-Aged,Self-emp-not-inc,11th,Never-married,Sales,Own-child,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Full-time,United-States,large
Senior,Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,None,None,Over-time,United-States,large
Middle-Aged,Self-emp-inc,Doctorate,Never-married,Prof-specialty,Own-child,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,None,None,Over-time,India,small
Middle-Aged,Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,Full-time,United-States,large
Middle-Aged,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Over-time,United-States,small
Young,Private,Some-college,Never-married,Other-service,Unmarried,White,Female,None,None,Over-time,El-Salvador,small
Senior,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,None,None,Over-time,United-States,small
Senior,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,None,None,Workaholic,United-States,small
Middle-Aged,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,Part-time,United-States,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,Workaholic,United-States,large
Young,Private,Some-college,Married-spouse-absent,Sales,Own-child,White,Female,None,Low,Full-time,United-States,small
Young,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,High,None,Full-time,United-States,large
Middle-Aged,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,None,None,Full-time,United-States,small
Young,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,Assoc-acdm,Divorced,Adm-clerical,Unmarried,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,None,None,Over-time,United-States,small
Senior,Self-emp-inc,10th,Widowed,Transport-moving,Not-in-family,White,Male,None,None,Full-time,United-States,small
Senior,Self-emp-not-inc,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,None,None,Full-time,United-States,large
Senior,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Full-time,United-States,large
Middle-Aged,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Full-time,United-States,large
Senior,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,None,None,Over-time,United-States,small
Senior,Private,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,None,None,Part-time,United-States,small
Middle-Aged,Private,10th,Never-married,Prof-specialty,Not-in-family,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Never-married,Other-service,Own-child,White,Male,None,None,Full-time,United-States,small
Young,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,None,None,Over-time,Taiwan,large
Senior,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,None,None,Full-time,United-States,large
Young,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,Full-time,United-States,small
Senior,Private,9th,Widowed,Transport-moving,Unmarried,White,Male,None,None,Full-time,United-States,large
Senior,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,None,None,Full-time,United-States,small
Old,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,None,None,Part-time,United-States,small
Middle-Aged,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Full-time,United-States,large
Middle-Aged,Local-gov,Assoc-acdm,Divorced,Exec-managerial,Not-in-family,Black,Female,None,None,Full-time,United-States,small
Senior,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,High,None,Full-time,United-States,large
Middle-Aged,Private,HS-grad,Divorced,Adm-clerical,Own-child,White,Female,None,None,Full-time,United-States,small
Senior,Private,HS-grad,Separated,Transport-moving,Unmarried,Asian-Pac-Islander,Male,None,None,Over-time,United-States,large
Senior,Private,Some-college,Divorced,Sales,Not-in-family,White,Female,None,None,Full-time,United-States,small
Young,Private,11th,Never-married,Other-service,Own-child,White,Female,None,None,Part-time,United-States,small
Senior,Local-gov,1st-4th,Widowed,Handlers-cleaners,Unmarried,Black,Male,None,None,Full-time,United-States,small
Senior,Private,HS-grad,Divorced,Protective-serv,Not-in-family,White,Male,None,None,Part-time,United-States,small
Middle-Aged,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,High,None,Over-time,United-States,large
Young,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,None,None,Part-time,United-States,small
Young,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Full-time,United-States,small
Young,Private,HS-grad,Never-married,Sales,Own-child,Black,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,None,None,Full-time,United-States,small
Senior,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,None,None,Over-time,United-States,large
Middle-Aged,Private,Some-college,Never-married,Sales,Not-in-family,Black,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,None,None,Full-time,United-States,small
Senior,Private,HS-grad,Widowed,Sales,Not-in-family,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Separated,Exec-managerial,Not-in-family,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Over-time,United-States,small
Senior,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,None,None,Full-time,United-States,large
Middle-Aged,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,Low,None,Full-time,United-States,small
Middle-Aged,Self-emp-not-inc,Some-college,Never-married,Craft-repair,Own-child,White,Male,None,None,Over-time,Columbia,small
Young,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,None,None,Part-time,United-States,small
Middle-Aged,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,None,None,Full-time,Germany,small
Senior,Private,Some-college,Widowed,Other-service,Not-in-family,White,Female,None,None,Full-time,United-States,small
Senior,Private,Assoc-acdm,Divorced,Craft-repair,Not-in-family,Black,Male,None,None,Over-time,United-States,small
Middle-Aged,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,Over-time,United-States,large
Middle-Aged,Private,Assoc-acdm,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,None,None,Full-time,Nicaragua,small
Young,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,None,None,Full-time,United-States,small
Young,Private,Some-college,Never-married,Other-service,Own-child,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,Low,Full-time,United-States,large
Young,Private,HS-grad,Separated,Other-service,Unmarried,White,Female,None,None,Part-time,United-States,small
Senior,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,None,None,Full-time,United-States,large
Middle-Aged,Federal-gov,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Over-time,United-States,large
Middle-Aged,Private,11th,Never-married,Handlers-cleaners,Own-child,Black,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,Other,Female,None,Low,Full-time,United-States,small
Young,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Over-time,United-States,small
Young,State-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Female,None,None,Part-time,United-States,small
Senior,Self-emp-not-inc,Masters,Never-married,Exec-managerial,Not-in-family,Black,Male,None,None,Part-time,United-States,small
Senior,Local-gov,Some-college,Married-spouse-absent,Adm-clerical,Unmarried,Black,Female,None,None,Full-time,United-States,small
Senior,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Full-time,Iran,large
Middle-Aged,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Black,Female,None,Low,Full-time,United-States,large
Middle-Aged,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,High,None,Full-time,United-States,large
Young,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,None,None,Part-time,United-States,small
Young,Private,Some-college,Never-married,Other-service,Own-child,White,Female,None,None,Part-time,United-States,small
Middle-Aged,Private,Bachelors,Divorced,Transport-moving,Not-in-family,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,None,None,Full-time,United-States,small
Young,Private,HS-grad,Never-married,Adm-clerical,Unmarried,Black,Female,None,None,Full-time,United-States,small
Senior,Self-emp-inc,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,None,None,Full-time,United-States,small
Senior,Private,HS-grad,Married-civ-spouse,Priv-house-serv,Other-relative,White,Female,None,None,Full-time,United-States,small
Old,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Low,None,Part-time,United-States,small
Middle-Aged,Private,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Full-time,United-States,small
Young,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,None,None,Full-time,United-States,small
Young,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,None,None,Full-time,United-States,small
Senior,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,Over-time,United-States,large
Middle-Aged,State-gov,Some-college,Married-spouse-absent,Other-service,Other-relative,Black,Male,None,None,Full-time,Haiti,small
Young,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,None,None,Part-time,United-States,small
Middle-Aged,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,None,None,Over-time,United-States,large
Middle-Aged,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,High,Full-time,United-States,large
Senior,Self-emp-not-inc,7th-8th,Married-civ-spouse,Other-service,Husband,White,Male,None,None,Part-time,United-States,small
Old,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Full-time,China,large
Young,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,None,None,Full-time,United-States,small
Young,Private,10th,Never-married,Other-service,Own-child,White,Female,None,None,Full-time,United-States,small
Senior,Local-gov,Bachelors,Widowed,Prof-specialty,Not-in-family,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,None,None,Over-time,United-States,large
Middle-Aged,Private,Bachelors,Never-married,Sales,Not-in-family,Black,Female,None,None,Full-time,United-States,small
Young,Private,Some-college,Never-married,Other-service,Own-child,White,Male,None,None,Part-time,United-States,small
Old,Local-gov,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Private,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Male,None,None,Full-time,Canada,small
Middle-Aged,Private,Some-college,Divorced,Transport-moving,Not-in-family,White,Male,Low,None,Full-time,United-States,small
Middle-Aged,Private,Some-college,Never-married,Sales,Not-in-family,Black,Female,None,None,Full-time,United-States,small
Middle-Aged,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,Male,None,None,Workaholic,United-States,small
Young,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,None,None,Over-time,United-States,small
Middle-Aged,Private,Doctorate,Married-civ-spouse,Prof-specialty,Wife,White,Female,None,None,Workaholic,United-States,small
Old,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,None,None,Part-time,United-States,small
Senior,Private,Some-college,Separated,Adm-clerical,Unmarried,White,Female,None,None,Over-time,United-States,small
Middle-Aged,Private,Bachelors,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,None,None,Part-time,China,small
Senior,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,White,Female,None,None,Over-time,United-States,small
Young,Private,11th,Never-married,Sales,Own-child,White,Female,None,None,Part-time,United-States,small
Young,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,None,None,Full-time,United-States,small
Senior,Private,11th,Divorced,Craft-repair,Other-relative,White,Female,None,None,Full-time,United-States,small
Young,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Federal-gov,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,None,None,Full-time,United-States,small
Middle-Aged,Private,HS-grad,Separated,Craft-repair,Unmarried,Black,Female,None,Low,Full-time,United-States,small
Senior,Private,HS-grad,Separated,Exec-managerial,Unmarried,White,Female,None,None,Full-time,United-States,small
Middle-Aged,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,None,None,Over-time,United-States,large
Middle-Aged,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,None,Low,Over-time,United-States,small
Middle-Aged,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,None,None,Full-time,United-States,small
